10	2.000000e-05	2.328306e-10
110	4.372000e-03	3.958121e-09
210	2.535100e-02	9.662472e-09
310	6.445600e-02	1.210719e-08
410	1.086230e-01	1.124572e-07
510	1.645430e-01	7.322524e-08
610	2.739900e-01	1.440058e-07
710	4.290880e-01	2.281740e-08
810	6.336320e-01	8.638017e-08
910	8.975330e-01	3.213063e-08
1010	1.226036e+00	5.715992e-08
1110	1.627382e+00	3.038440e-08
1210	2.108078e+00	6.577466e-08
1310	2.673281e+00	1.325971e-07
1410	3.328768e+00	1.992914e-06
1510	4.084411e+00	6.577466e-08
1610	4.943342e+00	8.428469e-08
1710	5.922580e+00	2.507586e-07
1810	7.009711e+00	4.478497e-07
1910	8.233196e+00	1.164153e-07
2010	9.576784e+00	2.381857e-07
2110	1.109287e+01	1.837034e-07
2210	1.271327e+01	8.329516e-07
2310	1.451642e+01	4.397822e-06
2410	1.646145e+01	7.994706e-06
2510	1.860377e+01	2.285233e-07
2610	2.089331e+01	2.394663e-07
2710	2.339959e+01	1.705484e-07
2810	2.602442e+01	4.018657e-07
2910	2.894382e+01	3.168825e-07
3010	3.197419e+01	5.110633e-07
3110	3.527509e+01	4.476169e-07
3210	3.872236e+01	1.708977e-07
3310	4.248669e+01	2.986053e-07
3410	4.640417e+01	1.230394e-06
3510	5.064518e+01	2.760207e-07
3610	5.496593e+01	9.119976e-07
3710	5.973345e+01	2.202578e-07
3810	6.460582e+01	3.429595e-07
3910	6.989369e+01	4.840549e-07
4010	7.523016e+01	3.227033e-07
4110	8.108247e+01	3.103632e-07
