10	3.3e-05	4.218847e-15
210	0.035627	6.350476e-14
410	0.172743	1.382228e-13
610	0.414093	3.508305e-13
810	0.962085	2.502443e-13
1010	1.862726	2.771117e-13
1210	3.203911	4.458656e-13
1410	5.059835	7.482903e-13
1610	7.534245	7.298606e-13
1810	10.692553	1.694755e-12
2010	14.618625	5.704326e-13
2210	19.419461	4.515277e-13
2410	25.212899	6.348255e-13
2610	31.943808	5.373479e-13
2810	39.842910	8.371082e-13
3010	48.971718	6.941114e-13
3210	59.308560	1.011857e-12
3410	71.095108	1.371792e-12
3610	84.334914	1.376232e-12
3810	99.070857	1.210365e-12
4010	115.428185	1.693534e-12
4210	133.493869	1.064815e-12
4410	153.435578	1.108891e-12
4610	175.180392	2.224665e-12
4810	198.950001	9.658940e-13
5010	224.686786	9.022783e-13
5210	252.613933	1.300626e-12
5410	282.665958	1.108447e-12
